origin_country,total_flights,avg_velocity,on_ground
Algeria,1,216.11,0
Argentina,11,188.0181818181818,0
Armenia,2,170.63,0
Australia,269,114.39918215613383,48
Austria,6,193.69000000000003,0
Azerbaijan,1,241.14,0
Bangladesh,15,61.838,0
Belarus,1,204.89,0
Belgium,7,247.39857142857142,0
Brazil,40,217.51075,0
Brunei Darussalam,2,244.71,0
Bulgaria,2,239.595,0
Cambodia,2,126.06,1
Canada,292,160.95044520547944,54
Chile,18,218.91666666666666,0
China,230,185.12152173913043,20
Colombia,1,220.78,0
Croatia,1,98.21,0
Czech Republic,5,209.68200000000002,0
Dominican Republic,1,138.48,0
Ecuador,1,223.0,0
Egypt,16,171.686875,0
Estonia,2,115.285,1
Ethiopia,14,257.71,0
Finland,11,230.37454545454545,1
France,47,207.8063829787234,2
Georgia,4,118.80250000000001,2
Germany,54,219.0451851851852,3
Greece,2,227.835,0
Iceland,1,243.94,0
India,181,162.56751381215471,25
Indonesia,13,189.4276923076923,1
Ireland,23,221.9717391304348,2
Israel,1,155.1,0
Italy,4,240.69,0
Japan,179,162.73675977653633,30
Jordan,4,245.66500000000002,0
Kazakhstan,5,237.65,0
Kenya,1,156.85,0
Kingdom of the Netherlands,18,186.115,2
Lao People's Democratic Republic,4,189.66,0
Latvia,1,0.0,1
Lithuania,2,103.43,0
Luxembourg,8,207.96375,1
Malaysia,57,196.97701754385966,1
Malta,7,220.49428571428572,0
Mauritius,2,243.11,0
Mexico,53,173.8954716981132,4
Mongolia,1,264.44,0
Morocco,3,246.56333333333336,0
Myanmar,2,149.20999999999998,0
Nepal,1,11.32,1
New Zealand,94,94.89882978723404,4
Nigeria,1,252.38,0
Norway,1,262.32,0
Oman,6,264.46666666666664,0
Pakistan,2,278.11,0
Panama,16,188.130625,2
Papua New Guinea,1,0.9,1
Philippines,44,152.50840909090908,7
Poland,6,218.82833333333335,0
Portugal,8,208.8425,1
Qatar,1,227.72,0
Republic of Korea,97,181.14896907216496,5
Republic of Moldova,6,233.49833333333333,0
Romania,3,149.73333333333335,0
Russian Federation,41,177.70487804878047,1
San Marino,1,230.4,0
Saudi Arabia,9,237.63222222222223,0
Serbia,3,147.32333333333332,0
Singapore,44,214.59750000000003,1
Slovakia,1,243.69,0
Solomon Islands,1,166.83,0
South Africa,3,242.96,0
Spain,24,205.01291666666668,2
Sri Lanka,7,218.02571428571426,0
Sweden,6,224.46666666666667,1
Switzerland,16,211.235,3
Taiwan,49,159.27795918367346,8
Thailand,75,170.89786666666666,4
Turkey,75,194.59026666666668,0
Turkmenistan,1,272.13,0
Uganda,1,81.39,0
Ukraine,6,228.84833333333336,0
United Arab Emirates,2,116.615,1
United Kingdom,50,223.57319999999999,4
United States,2782,157.7882668104998,306
Uzbekistan,3,447.03666666666663,0
Viet Nam,24,188.52874999999997,0
