icao24,origin_country,velocity,on_ground
e8027e,Chile,187.75,False
801645,India,204.31,False
ab6fdd,United States,8.23,True
a09294,United States,69.17,False
80163c,India,234.67,False
a5f849,United States,68.52,False
801648,India,111.37,False
acdfa3,United States,209.89,False
80160a,India,67.7,False
abacb6,United States,194.36,False
7c1bb9,Australia,44.67,False
80160f,India,245.19,False
ad5623,United States,0.0,True
801627,India,118.84,False
ad5628,United States,204.62,False
8a02cd,Indonesia,222.14,False
8a02cb,Indonesia,68.85,False
801633,India,155.61,False
a34215,United States,207.46,False
80161d,India,221.06,False
80161e,India,9.26,True
a2355d,United States,195.13,False
adeca5,United States,4.37,True
ab0356,United States,230.38,False
a9b3f9,United States,119.86,False
a47597,United States,193.27,False
801689,India,244.29,False
801688,India,40.41,False
801680,India,0.0,True
80167b,India,158.66,False
80167c,India,242.3,False
abf008,United States,184.29,False
511172,Estonia,223.63,False
4bc8d6,Turkey,144.04,False
4bc8d3,Turkey,142.16,False
a4d838,United States,319.92,False
80164e,India,4.63,True
ac234f,United States,199.03,False
80164f,India,168.56,False
ac101f,United States,150.77,False
80164c,India,204.92,False
acdffc,United States,243.04,False
a3a538,United States,10.8,True
ac3688,United States,200.19,False
e80273,Chile,225.01,False
801665,India,255.14,False
801666,India,261.56,False
8744d4,Japan,253.67,False
801674,India,194.8,False
801673,India,233.32,False
abf025,United States,200.63,False
a3b86c,United States,245.29,False
a53ee2,United States,234.95,False
abad94,United States,211.6,False
adb7f4,United States,58.68,False
0d11cc,Mexico,236.64,False
a6f23d,United States,211.01,False
80168c,India,204.41,False
aa8051,United States,63.84,False
a9653d,United States,233.6,False
4bc8ce,Turkey,203.61,False
e8022a,Chile,254.93,False
a5d28e,United States,194.9,False
c07bc7,Canada,3.34,True
c07bbe,Canada,248.27,False
a8eed8,United States,217.72,False
ac491d,United States,209.14,False
a5958c,United States,264.35,False
c0220b,Canada,48.77,False
aa099e,United States,219.58,False
ab1628,United States,0.0,True
851958,Japan,135.79,False
c04893,Canada,38.72,False
a2ba48,United States,222.03,False
a3ed69,United States,205.94,False
c03517,Canada,216.48,False
87455c,Japan,4.63,True
a3a4de,United States,105.58,False
c81d6c,New Zealand,75.17,False
a737c7,United States,146.53,False
c0481c,Canada,234.32,False
a00929,United States,213.19,False
a3a4ed,United States,217.49,False
accd10,United States,206.36,False
c81d7e,New Zealand,221.75,False
8a047a,Indonesia,181.5,False
84d283,Japan,94.76,False
c04850,Canada,197.27,False
00b1f2,South Africa,254.36,False
a3ed91,United States,223.14,False
84d28e,Japan,274.84,False
8014e4,India,204.18,False
8014e5,India,159.95,False
8014e6,India,229.48,False
e49eee,Brazil,250.12,False
c81d9d,New Zealand,241.22,False
e49ef1,Brazil,242.68,False
86ced2,Japan,208.76,False
85188c,Japan,4.63,True
8014f3,India,123.23,False
a3b7cb,United States,222.34,False
86cec5,Japan,0.64,True
8014f7,India,238.92,False
8014f8,India,157.74,False
8014ea,India,118.44,False
8014c0,India,229.32,False
4520fb,Bulgaria,224.48,False
e0b285,Argentina,239.44,False
a594b0,United States,64.84,False
a3b7f4,United States,278.95,False
87453a,Japan,230.99,False
8014d3,India,0.0,True
a4d7e4,United States,262.27,False
8014d6,India,185.91,False
abad6c,United States,268.95,False
a0092f,United States,50.99,False
7c2f92,Australia,57.56,False
a831ce,United States,48.94,False
4520a1,Bulgaria,254.71,False
a99a52,United States,233.18,False
aa2a7f,United States,241.49,False
7809b6,China,272.15,False
a16ff1,United States,263.53,False
a951a1,United States,79.62,False
8014fe,India,209.52,False
8014fd,India,0.45,True
aae27f,United States,189.35,False
c07c7b,Canada,217.14,False
a46304,United States,129.84,False
7809e2,China,82.85,False
801602,India,71.52,False
aa2a54,United States,187.51,False
801606,India,218.93,False
801604,India,182.94,False
801608,India,227.41,False
aa91b5,United States,191.27,False
a08021,United States,244.46,False
5003e3,San Marino,230.4,False
a3560b,United States,0.0,True
ac47b7,United States,66.93,False
c046f7,Canada,0.0,True
a3b90e,United States,236.77,False
80174a,India,156.15,False
c07e2c,Canada,211.85,False
ab4aa9,United States,83.72,False
80174b,India,198.66,False
a4d97e,United States,192.76,False
a7cfb7,United States,257.27,False
80175a,India,239.4,False
80175f,India,133.28,False
abadc0,United States,125.12,False
505cea,Slovakia,243.69,False
e49f44,Brazil,217.06,False
a60665,United States,74.49,False
ac3751,United States,169.42,False
800441,India,223.3,False
800446,India,263.25,False
c07e33,Canada,1.8,True
8a01cd,Indonesia,239.94,False
a40cd9,United States,243.96,False
80172c,India,0.26,True
ab4abf,United States,59.7,False
ad574f,United States,205.43,False
c07e62,Canada,224.89,False
ac2439,United States,158.0,False
a97925,United States,43.29,False
a64cce,United States,66.09,False
80173b,India,234.04,False
a7130c,United States,201.99,False
c07e59,Canada,237.07,False
8852e3,Thailand,259.14,False
801754,India,124.97,False
c06b22,Canada,52.22,False
c81acb,New Zealand,33.82,False
80173e,India,0.0,True
c035bf,Canada,69.86,False
ac377b,United States,202.25,False
a5f938,United States,204.01,False
abadf9,United States,104.77,False
3c4b27,Germany,3.09,True
a45051,United States,284.29,False
3c4b26,Germany,261.65,False
ab4af1,United States,225.24,False
ac245c,United States,0.77,True
0d10f8,Mexico,211.76,False
ad8aa9,United States,0.0,True
80179a,India,240.19,False
80179b,India,264.46,False
a61949,United States,211.25,False
accdd3,United States,107.24,False
39cc8a,France,245.25,False
3c4b2a,Germany,303.49,False
a89fa3,United States,221.06,False
a3ecc9,United States,45.3,False
a8dd7a,United States,27.15,False
0d10fe,Mexico,207.65,False
801788,India,7.46,True
ac379a,United States,114.17,False
80177c,India,173.84,False
80177d,India,233.32,False
80044c,India,206.64,False
aad162,United States,269.95,False
a2ccff,United States,64.16,False
80177e,India,6.17,True
e48c30,Brazil,240.76,False
801799,India,207.71,False
3443cc,Spain,16.46,False
ac247a,United States,117.29,False
ad42db,United States,51.12,False
ada5ee,United States,208.26,False
7c2fa0,Australia,78.25,False
8a0301,Indonesia,220.0,False
addb47,United States,200.67,False
a8dcee,United States,148.62,False
c0103a,Canada,0.0,True
0d10ac,Mexico,252.09,False
a02b50,United States,58.76,False
a45072,United States,247.74,False
aa8164,United States,0.0,True
a6e055,United States,230.05,False
a1ae05,United States,208.45,False
4aca67,Sweden,274.06,False
a7133f,United States,258.87,False
c81c07,New Zealand,49.8,False
8016a4,India,196.1,False
a222b2,United States,234.1,False
a2bb10,United States,176.66,False
a6f326,United States,238.26,False
ac370b,United States,256.74,False
7c1ca2,Australia,4.12,True
a9b62c,United States,221.58,False
a7cfe6,United States,227.54,False
76b864,Singapore,232.3,False
a89fda,United States,269.21,False
a7cfe3,United States,150.36,False
a475a3,United States,213.6,False
a355b1,United States,239.02,False
a7268f,United States,46.77,False
c81c27,New Zealand,2.91,False
aa944a,United States,308.65,False
76b86a,Singapore,180.27,False
76b86c,Singapore,235.73,False
aa2abc,United States,2.31,True
c02358,Canada,4.37,True
ab15ba,United States,72.03,False
a462c4,United States,4.6,False
a51b58,United States,200.74,False
8015d4,India,176.02,False
c0360e,Canada,223.78,False
abae2c,United States,264.8,False
ab4b34,United States,245.64,False
8015cd,India,145.79,False
ac22a8,United States,6.43,True
a39e83,United States,0.9,True
8015a7,India,265.81,False
ab5e6c,United States,173.68,False
a39e6b,United States,0.0,True
8015ad,India,235.44,False
8015ab,India,178.65,False
885310,Thailand,117.04,False
a9538b,United States,253.92,False
c06a9b,Canada,253.38,False
8015fc,India,210.28,False
e0b149,Argentina,234.49,False
e0b147,Argentina,138.73,False
885306,Thailand,192.91,False
885305,Thailand,93.64,False
0d115a,Mexico,224.63,False
ad8b20,United States,5.14,True
a0f70c,United States,4.89,True
e49dde,Brazil,241.13,False
a5c09d,United States,229.96,False
7c0a70,Australia,39.93,False
781a89,China,231.33,False
3c4ad9,Germany,210.2,False
8015e4,India,4.63,True
885334,Thailand,211.8,False
8015e2,India,225.54,False
a2bb89,United States,4.63,True
8015e5,India,147.09,False
a64e2a,United States,205.14,False
a52e54,United States,74.02,False
8015db,India,224.29,False
8015da,India,221.69,False
88530f,Thailand,194.12,False
a38b84,United States,8.75,True
885314,Thailand,186.16,False
885313,Thailand,242.63,False
a0f73c,United States,194.64,False
4bc855,Turkey,197.98,False
a99b5f,United States,216.02,False
4bc84f,Turkey,199.62,False
a15de9,United States,297.37,False
0d111a,Mexico,239.02,False
a35727,United States,204.35,False
0d1138,Mexico,215.73,False
702066,Bangladesh,245.87,False
aa92fa,United States,277.94,False
702067,Bangladesh,183.25,False
0d1140,Mexico,74.54,False
4bc847,Turkey,55.85,False
ac1076,United States,263.66,False
841b6a,Japan,0.06,True
c06a82,Canada,244.5,False
a965d6,United States,33.85,False
c06a38,Canada,250.64,False
a8de56,United States,207.73,False
8518ae,Japan,3.86,True
4bc88f,Turkey,108.68,False
a39dca,United States,192.94,False
801725,India,260.62,False
801729,India,223.74,False
800401,India,163.99,False
a39dd0,United States,241.61,False
ad3098,United States,231.8,False
ac7e15,United States,150.3,False
a978e4,United States,42.38,False
841b28,Japan,239.14,False
ac48ac,United States,215.5,False
aa92c2,United States,194.59,False
8518f2,Japan,130.73,False
a75b65,United States,197.94,False
4bc889,Turkey,210.79,False
aaf5a9,United States,230.45,False
abf09e,United States,109.55,False
4bc894,Turkey,63.97,False
ab15c1,United States,251.08,False
aaf5b1,United States,202.84,False
a98909,United States,250.67,False
a6bfa6,United States,185.75,False
a0f355,United States,263.49,False
a2efec,United States,0.0,True
c058c0,Canada,0.0,True
c058ae,Canada,123.98,False
a2467a,United States,182.98,False
44007c,Austria,263.2,False
7cc426,Australia,29.69,False
e072d4,Argentina,222.04,False
80184b,India,72.55,False
adb706,United States,61.89,False
c058d5,Canada,201.25,False
c07b05,Canada,271.68,False
ab274c,United States,56.02,False
a2463a,United States,41.38,False
a3661f,United States,230.75,False
a24667,United States,73.39,False
c058c3,Canada,304.61,False
a2597f,United States,260.75,False
80057b,India,7.46,True
adb723,United States,256.07,False
3c4a11,Germany,250.79,False
3c4a10,Germany,268.09,False
ac8dc7,United States,5.87,False
702098,Bangladesh,114.87,False
80058a,India,1.8,True
ac3430,United States,121.93,False
3c4a15,Germany,255.75,False
ac7aa9,United States,129.98,False
ac210e,United States,211.6,False
e48b01,Brazil,238.0,False
a3401a,United States,136.61,False
a74923,United States,251.34,False
a2467d,United States,0.06,True
ab0147,United States,194.25,False
ad6755,United States,216.9,False
73934e,Israel,155.1,False
ad6758,United States,174.42,False
ab013c,United States,193.42,False
800584,India,235.48,False
8a04ce,Indonesia,240.46,False
70209b,Bangladesh,73.09,False
e0b04e,Argentina,239.19,False
a84343,United States,265.69,False
a005b4,United States,35.82,False
a7101e,United States,152.07,False
a73690,United States,239.39,False
c03358,Canada,38.06,False
a6f00d,United States,71.01,False
a9c631,United States,242.31,False
c04671,Canada,223.57,False
accb22,United States,212.33,False
874846,Japan,216.18,False
440002,Austria,252.27,False
a6169b,United States,53.98,False
a8431a,United States,194.4,False
a018ee,United States,263.28,False
a9d975,United States,35.19,False
a9b310,United States,185.24,False
a4b065,United States,207.89,False
abab67,United States,277.03,False
ab5b8c,United States,252.39,False
adc8fc,United States,56.2,False
abab83,United States,58.57,False
adc8fa,United States,50.63,False
a138b8,United States,257.59,False
a35388,United States,259.08,False
a6f01c,United States,229.66,False
a4d65c,United States,212.17,False
8840fa,Thailand,147.24,False
a2de28,United States,116.74,False
a15b2f,United States,189.84,False
a2de17,United States,209.17,False
3c4a8b,Germany,239.0,False
8004a7,India,131.71,False
a97639,United States,232.36,False
8017a0,India,234.2,False
a258be,United States,202.99,False
a84325,United States,101.15,False
a04e60,United States,283.77,False
a8b926,United States,239.47,False
a97608,United States,222.89,False
a258cd,United States,138.58,False
a74992,United States,97.54,False
c0464c,Canada,36.83,False
aa0759,United States,184.36,False
a03b40,United States,271.25,False
c81b24,New Zealand,105.15,False
8016de,India,99.71,False
8016df,India,138.6,False
a1be72,United States,230.76,False
a4d5c7,United States,236.83,False
8016f9,India,94.8,False
a41e2c,United States,186.91,False
a2cb12,United States,233.69,False
a2cb14,United States,238.2,False
aa909a,United States,255.19,False
8016af,India,238.13,False
8016ad,India,218.65,False
34558e,Spain,3.09,True
a39b19,United States,6.94,True
4891ac,Poland,228.4,False
a125f9,United States,5.92,True
8016c8,India,186.07,False
4891b8,Poland,231.1,False
4891b6,Poland,225.3,False
7c72b4,Australia,54.54,False
8016d3,India,74.77,False
a365b7,United States,210.45,False
a03b6d,United States,267.44,False
ac8e1d,United States,202.77,False
781b7d,China,127.97,False
a16e7d,United States,188.65,False
a9768a,United States,221.8,False
7c0b8a,Australia,45.07,False
8003f1,India,226.55,False
c1ea42,Canada,6.69,True
ab5b2b,United States,137.89,False
ac45d5,United States,0.0,True
781b9a,China,195.81,False
7c0b6b,Australia,38.6,False
ad9b28,United States,243.64,False
7c72f0,Australia,82.87,False
8003e3,India,126.55,False
ab5b66,United States,127.48,False
aaf2c7,United States,145.68,False
a365f8,United States,238.86,False
7c6097,Australia,42.37,False
a12732,United States,243.67,False
a8a5cf,United States,101.07,False
a12735,United States,155.53,False
abbce5,United States,202.38,False
ac8cf1,United States,251.87,False
7cb05e,Australia,111.71,False
7cc38f,Australia,60.24,False
a89e79,United States,42.71,False
801800,India,212.24,False
ac8ce9,United States,120.03,False
7cb067,Australia,186.01,False
